Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
14900,45898,63.5,0.0,20.778,0.0
14900,48787,63.5,0.0,20.778,0.0
15000,12169,63.2037037037037,1.5396007178390017,20.681037037037033,0.5038343349128119
15000,15599,52.5,0.0,17.179,0.0
15000,20945,57.77777777777778,5.619905100029121,18.905777777777775,1.8387469465191049
15000,22873,60.5,11.19666846054596,19.809407407407406,3.597147419609677
15000,30556,57.27777777777778,11.471816076914937,18.755037037037035,3.6926816343169437
15000,33952,19.314814814814813,24.070069248305742,6.535222222222222,7.758613706134985
15000,36997,63.5,0.0,20.778,0.0
15000,40252,56.0,0.0,18.324,0.0
15000,45898,63.5,0.0,20.778,0.0
15000,48787,63.5,0.0,20.778,0.0
15100,12169,63.214285714285715,1.5118578920369083,20.684499999999996,0.4947554951690769
15100,15599,52.5,0.0,17.179,0.0
15100,20945,57.982142857142854,5.619875678829794,18.972642857142855,1.8387372723186297
15100,22873,60.392857142857146,11.001983948072764,19.773892857142858,3.5349039416912196
15100,30556,59.875,4.9677198734168515,19.59182142857143,1.625538043201136
15100,33952,20.678571428571427,24.69788350720462,6.973785714285714,7.959400993454418
15100,36997,63.5,0.0,20.778,0.0
15100,40252,56.0,0.0,18.324,0.0
15100,45898,63.5,0.0,20.778,0.0
15100,48787,63.5,0.0,20.778,0.0
15200,12169,63.214285714285715,1.5118578920369083,20.684499999999996,0.4947554951690769
15200,15599,52.5,0.0,17.179,0.0
15200,20945,57.589285714285715,5.604319715264243,18.844107142857144,1.8336466265500015
15200,22873,60.392857142857146,11.001983948072764,19.773892857142858,3.5349039416912196
15200,30556,58.910714285714285,11.055460835519897,19.28464285714286,3.5774186039272595
15200,33952,18.607142857142858,23.36836938750087,6.308178571428571,7.529574382017792
15200,36997,63.5,0.0,20.778,0.0
15200,40252,56.0,0.0,18.324,0.0
15200,45898,63.5,0.0,20.778,0.0
15200,48787,63.5,0.0,20.778,0.0
15300,12169,63.18,1.5999999999999996,20.67328,0.5235999999999984
15300,15599,52.5,0.0,17.179,0.0
15300,20945,56.88,5.5175477644813675,18.61204,1.8052563871465281
15300,22873,60.02,11.611309142383558,19.653399999999998,3.730460661902226
15300,30556,60.22,4.892766770107346,19.70476,1.6009459255910747
15300,33952,20.02,24.390691530445245,6.76456,7.8583871122938875
15300,36997,63.5,0.0,20.778,0.0
15300,40252,56.0,0.0,18.324,0.0
15300,45898,63.5,0.0,20.778,0.0
15300,48787,63.5,0.0,20.778,0.0
15400,12169,62.75,2.8365994247154998,20.532571428571426,0.9282371754935563
15400,15599,52.5,0.0,17.179,0.0
15400,20945,57.25,5.520165053893063,18.733071428571428,1.8061289057923366
15400,22873,60.392857142857146,11.001983948072764,19.773892857142858,3.5349039416912196
15400,30556,58.30357142857143,11.007858544487648,19.085964285714283,3.562152225854297
15400,33952,22.642857142857142,25.854957667318587,7.610142857142857,8.330581846711663
15400,36997,63.5,0.0,20.778,0.0
15400,40252,56.0,0.0,18.324,0.0
15400,45898,63.5,0.0,20.778,0.0
15400,48787,63.5,0.0,20.778,0.0
15500,12169,62.775862068965516,2.7889648838149106,20.54103448275862,0.9126494587095091
15500,15599,52.5,0.0,17.179,0.0
15500,20945,57.08620689655172,5.491989240048439,18.679482758620686,1.7969080710385676
15500,22873,60.758620689655174,10.797338205098093,19.89313793103448,3.468643463992164
15500,30556,58.48275862068966,10.852487172649056,19.144310344827584,3.512047277417792
15500,33952,24.03448275862069,26.51008266223666,8.05955172413793,8.541248965989386
15500,36997,63.5,0.0,20.778,0.0
15500,40252,56.0,0.0,18.324,0.0
15500,45898,63.5,0.0,20.778,0.0
15500,48787,63.5,0.0,20.778,0.0
15600,12169,62.775862068965516,2.7889648838149106,20.54103448275862,0.9126494587095091
15600,15599,52.5,0.0,17.179,0.0
15600,20945,57.08620689655172,5.491989240048439,18.679482758620686,1.7969080710385676
15600,22873,60.758620689655174,10.797338205098093,19.89313793103448,3.468643463992164
15600,30556,58.8448275862069,10.836531673889567,19.262793103448274,3.506485016359079
15600,33952,24.03448275862069,26.51008266223666,8.05955172413793,8.541248965989386
15600,36997,63.5,0.0,20.778,0.0
15600,40252,56.0,0.0,18.324,0.0
15600,45898,63.5,0.0,20.778,0.0
15600,48787,63.5,0.0,20.778,0.0
15700,12169,62.775862068965516,2.7889648838149106,20.54103448275862,0.9126494587095091
15700,15599,52.5,0.0,17.179,0.0
15700,20945,57.08620689655172,5.491989240048439,18.679482758620686,1.7969080710385676
