Time_ms,Mean_Latency_us,Std_Latency_us
79100,71871490.4,10854.565159416372
79200,71860803.33333333,5686.241758258001
79300,71864410.0,5581.900930686606
79500,71859234.5,6520.231629321154
79600,71869537.2,10079.780191056252
79700,71871373.0,0.0
79800,71871228.66666667,12384.740624385588
79900,71870680.0,5616.463418676679
80000,71862111.0,
80100,71872746.33333333,2360.2079004482657
80200,71866520.25,12475.226180312244
80300,71861351.0,5550.004414412659
80400,71871333.0,
80500,71853519.0,
80600,71867445.4,5131.972554485222
80700,71857731.0,
80800,71875388.5,3680.607966083864
80900,71868306.2,9698.097375259362
81000,71862481.0,
81200,71871435.66666667,9344.45522578292
81300,71857950.5,1540.785676205487
81400,71863998.0,4000.8101679534857
81500,71868747.0,
81600,71858315.0,6636.904248216935
81700,71866386.2,6327.020483607914
81800,71875295.0,3270.1119246900403
81900,71855352.0,
82000,71872707.0,8055.1909557336585
82100,71862202.0,
82200,71874058.33333333,3572.6434657464797
82300,71867092.5,12924.722163356004
82400,71861824.33333333,5417.273330131569
82500,71868460.0,
82600,71853625.0,
82700,71869916.33333333,5684.013400172941
82800,71862664.66666667,4178.283898124247
82900,71875095.5,3910.3933732213354
83000,71868573.4,8503.549394221589
83100,71862546.0,
83200,71874354.0,0.0
83300,71869209.5,11751.027316790643
83400,71859932.5,1132.0779566796625
83500,71864294.66666667,6631.812447085402
83600,71853654.0,
83700,71863500.0,
83800,71869056.5,5122.828938519549
83900,71871633.0,8302.006474339503
84000,71855725.0,
84100,71870725.5,5621.659571099386
84200,71862672.0,
84300,71867902.0,10542.431977489823
84400,71868478.25,9700.75747471772
84500,71861839.5,7544.122248479275
84600,71869031.0,
84700,71853589.0,
84800,71863317.0,
84900,71870038.33333333,4471.859151032655
85000,71871385.33333333,11921.128358228469
85100,71862482.66666667,6429.949947963786
85200,71871692.66666667,8496.286561393457
85400,71866630.4,10197.905927198173
85500,71871434.0,9339.217954411386
85600,71864743.33333333,7075.863363106479
85700,71854183.0,
85800,71862948.0,
85900,71872858.0,0.0
86000,71866314.6,5455.797127827398
86100,71870630.0,13340.255319895494
86200,71864479.33333333,2199.12717534436
86300,71875475.0,0.0
86400,71873316.66666667,2574.404850315466
86500,71865468.2,11168.314787825591
86700,71861673.75,7535.526540994456
86900,71865405.0,
87000,71869675.33333333,3932.844907526841
87100,71871459.0,11826.442914080295
87200,71855131.0,
87300,71869018.8,6227.066139041202
87500,71865251.33333333,9053.770720901079
87600,71877143.0,0.0
87700,71864864.66666667,6009.091639617098
87800,71853511.0,
88000,71871655.0,4319.229503046459
88100,71869542.4,8603.944461698025
88200,71855407.0,
88400,71869432.4,5900.685197498375
88500,71865938.0,6013.2360672104005
88600,71870229.5,11296.943458297883
88700,71868983.0,
88800,71859444.0,7075.397444666978
89000,71868514.66666667,4768.913223505233
89100,71867784.0,8502.637414355619
89200,71871428.5,8107.729830229915
89300,71855846.0,
89400,71869504.4,6879.023244616387
89600,71865354.16666667,9267.60725142707
89700,71877066.0,0.0
89800,71863631.66666667,7884.703312954427
89900,71856240.0,
