[UE 1 | RBs:  1 ] Total Throughput = 2.51470 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.96309 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.08788 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31640 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.10925 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.07037 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.98232 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30612 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.07993 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.91501 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 2.07213 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.95373 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.97813 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 2.03612 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.30905 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.08513 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.31394 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.83837 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.55247 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.87145 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 2.51565 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.42189 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.20046 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.52619 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31749 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.65624 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.09320 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.08582 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.43716 Mbps
